1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
397	-0.445985	240.803278	0.004138	2.4
398	-0.531342	240.513619	0.005529	2.4
399	-0.747918	240.224887	0.007363	2.4
400	-0.446046	239.937077	0.006889	2.3
401	-1.000700	239.650186	0.041400	2.3
402	-0.956764	239.364207	0.008695	2.4
403	-0.499446	239.079136	0.022402	2.4
404	-0.626544	238.794969	0.012250	2.4
405	-0.730944	238.511701	0.006703	2.4
406	-0.580528	238.229327	0.006240	2.3
407	-0.591457	237.947843	0.004827	2.3
408	-1.050763	237.667244	0.007923	2.3
409	-0.796740	237.387526	0.018746	2.3
410	-0.762037	237.108684	0.005686	2.3
411	-0.254426	236.830714	0.014795	2.3
412	-0.814155	236.553610	0.020359	2.3
413	-1.032964	236.277370	0.028019	2.3
414	-0.238975	236.001989	0.009170	2.4
415	-0.707505	235.727461	0.008412	2.3
416	-0.436606	235.453784	0.004680	2.4
417	-0.997115	235.180952	0.029402	2.4
418	-0.981412	234.908962	0.029969	2.4
419	-0.581575	234.637809	0.004016	2.4
420	-0.704453	234.367488	0.009138	2.4
421	-1.001341	234.097997	0.026011	2.4
422	-0.689336	233.829331	0.012671	2.3
423	-0.456937	233.561485	0.007328	2.3
424	-0.098325	233.294456	0.003447	2.4
425	-0.383495	233.028239	0.010895	2.5
426	-1.128332	232.762831	0.015654	2.4
427	-0.771995	232.498228	0.026088	2.3
428	-0.600246	232.234425	0.005933	2.4
429	-0.799536	231.971419	0.029699	2.4
430	-0.559338	231.709205	0.016831	2.4
431	-0.528515	231.447781	0.004505	2.8
432	-0.758057	231.187141	0.007984	2.4
433	-0.681771	230.927283	0.007316	2.4
434	-1.145416	230.668202	0.020150	2.4
435	-0.784103	230.409895	0.005423	2.3
436	-0.599482	230.152358	0.009703	2.3
437	-0.863654	229.895587	0.012836	2.4
438	-0.424636	229.639578	0.006587	2.4
439	-0.978325	229.384329	0.029588	2.4
440	-0.827066	229.129834	0.019661	2.3
441	-0.332890	228.876091	0.003051	2.3
