1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
262	-0.823124	102.614952	0.482650	0.030968	0.8
263	-0.753168	102.147260	0.484483	0.048915	0.8
264	-0.777250	103.147260	0.480580	0.050404	0.9
265	-0.790659	104.141948	0.476761	0.063131	0.8
266	-0.762597	105.141948	0.472981	0.037599	0.8
267	-0.804018	106.141948	0.469261	0.052567	0.8
268	-0.780763	105.673738	0.470995	0.020370	0.8
269	-0.779535	106.673423	0.467307	0.042651	0.8
270	-0.810275	106.266033	0.468803	0.030857	0.8
271	-0.796792	107.234261	0.465264	0.030737	0.9
272	-0.812088	106.766055	0.466969	0.045621	0.8
273	-0.787265	106.297946	0.468686	0.021810	0.8
274	-0.786191	107.034503	0.465990	0.023050	0.8
275	-0.767695	106.589340	0.467615	0.028124	0.8
276	-0.811033	106.215944	0.468988	0.038710	0.9
277	-0.753501	105.747735	0.470720	0.038786	0.8
278	-0.775806	106.711554	0.467168	0.022301	0.8
279	-0.792889	107.692861	0.463606	0.036148	0.8
280	-0.766454	108.461832	0.460852	0.035070	0.8
281	-0.774117	109.460589	0.457324	0.022834	0.8
282	-0.773046	109.089075	0.458630	0.034515	0.8
283	-0.797164	109.527046	0.457091	0.031434	0.8
284	-0.802255	109.058862	0.458736	0.026820	0.8
285	-0.790806	110.058431	0.455238	0.037296	0.8
286	-0.756577	111.058430	0.451790	0.041915	0.8
287	-0.767040	110.590220	0.453398	0.025510	0.8
288	-0.773787	111.590210	0.449978	0.033566	0.8
289	-0.760219	112.590150	0.446610	0.027572	0.8
290	-0.787349	112.425953	0.447160	0.023608	0.8
291	-0.821293	112.198822	0.447922	0.018486	0.8
292	-0.779445	112.834775	0.445794	0.046810	0.9
293	-0.786053	112.382195	0.447307	0.032746	0.8
294	-0.734228	111.913985	0.448882	0.037216	0.8
295	-0.761692	112.913985	0.445530	0.041438	0.8
296	-0.777066	112.445775	0.447094	0.026708	0.8
297	-0.756618	113.445764	0.443768	0.038195	0.8
298	-0.788872	114.445746	0.440492	0.037813	0.8
299	-0.799976	113.977573	0.442020	0.028975	0.8
300	-0.786722	113.509363	0.443558	0.031016	0.8
301	-0.786417	114.506265	0.440295	0.040971	0.9
302	-0.761406	115.506265	0.437070	0.016492	0.8
303	-0.745989	115.327482	0.437643	0.048351	0.9
304	-0.799986	116.327328	0.434456	0.030055	0.8
305	-0.776548	115.859176	0.435943	0.036132	0.8
306	-0.771888	115.444455	0.437268	0.042489	0.8
307	-0.788305	116.444455	0.434086	0.028662	0.8
308	-0.777101	115.976273	0.435570	0.022089	0.8
309	-0.755785	116.758590	0.433096	0.033153	0.8
310	-0.796674	117.758441	0.429976	0.044903	0.8
311	-0.812033	117.290403	0.431431	0.040569	0.9
312	-0.771763	118.290355	0.428334	0.034267	0.8
313	-0.807283	117.825248	0.429769	0.025881	0.8
314	-0.799258	118.822063	0.426705	0.049850	0.8
315	-0.800110	118.354544	0.428136	0.040440	0.8
316	-0.792139	117.886357	0.429580	0.038383	0.9
317	-0.787479	118.886357	0.426509	0.025162	0.8
318	-0.784997	119.692859	0.424064	0.014286	0.8
319	-0.816509	119.226031	0.425476	0.026107	0.8
320	-0.778193	119.770394	0.423830	0.030407	0.8
321	-0.807858	120.770393	0.420841	0.040245	0.8
322	-0.772455	121.061662	0.419978	0.024606	0.8
323	-0.777435	122.061662	0.417042	0.029542	0.8
324	-0.791306	122.857578	0.414735	0.025460	0.8
325	-0.804282	122.389373	0.416089	0.031492	0.8
326	-0.785873	123.388291	0.413210	0.051614	0.8
327	-0.772056	122.921929	0.414549	0.037053	0.8
328	-0.795071	123.921929	0.411689	0.031540	0.8
329	-0.795073	123.453719	0.413023	0.029085	0.8
330	-0.782014	124.447142	0.410202	0.034702	0.8
331	-0.768003	123.978945	0.411527	0.030879	0.8
332	-0.792201	124.801678	0.409205	0.038030	0.8
333	-0.785651	125.801678	0.406417	0.035468	0.8
334	-0.772272	126.683038	0.403992	0.035530	0.8
335	-0.790012	126.291640	0.405065	0.026694	0.8
336	-0.764639	127.276440	0.402375	0.035152	0.8
337	-0.763594	128.276437	0.399680	0.021398	0.8
338	-0.795243	127.821353	0.400902	0.031083	0.8
339	-0.761011	128.810546	0.398255	0.024850	0.8
340	-0.778749	129.800078	0.395641	0.032078	0.8
341	-0.775165	130.799812	0.393036	0.040273	0.8
342	-0.770941	130.564432	0.393646	0.035787	0.9
343	-0.784874	131.564432	0.391066	0.031337	0.8
344	-0.754443	131.097178	0.392267	0.029699	0.8
345	-0.798980	130.628968	0.393479	0.028342	0.8
346	-0.783749	130.193557	0.394612	0.046321	0.8
347	-0.807510	131.193555	0.392019	0.033537	0.8
348	-0.787183	130.725345	0.393229	0.037960	0.8
349	-0.782048	130.267465	0.394419	0.037632	0.8
350	-0.804930	129.799255	0.395643	0.042207	0.9
351	-0.793653	130.779094	0.393089	0.033213	0.8
352	-0.777076	131.779093	0.390516	0.038022	0.8
353	-0.794948	132.779093	0.387977	0.037284	0.8
354	-0.781424	132.310890	0.389162	0.027100	0.8
355	-0.837287	133.310890	0.386640	0.038754	0.8
356	-0.778039	134.067699	0.384753	0.031778	0.8
357	-0.759075	133.599490	0.385918	0.017306	0.9
358	-0.764897	133.476374	0.386226	0.025955	0.8
359	-0.804234	133.008180	0.387400	0.035243	0.8
360	-0.805656	134.008180	0.384901	0.021585	0.8
361	-0.799493	135.006307	0.382438	0.024585	0.8
362	-0.774560	136.004408	0.380007	0.032314	0.9
363	-0.791829	135.951085	0.380136	0.038381	0.8
364	-0.791620	135.482876	0.381273	0.037533	0.8
365	-0.816504	136.482851	0.378852	0.051460	0.8
366	-0.786491	136.046962	0.379904	0.031968	0.8
367	-0.785208	135.578752	0.381040	0.026705	0.9
368	-0.782649	136.578752	0.378622	0.026689	0.8
369	-0.802305	137.526887	0.376357	0.022588	0.9
370	-0.775012	138.526782	0.373998	0.044184	0.8
371	-0.753330	138.059013	0.375098	0.060954	0.8
372	-0.775000	139.059013	0.372755	0.033218	0.9
